firstAuthor	accessionId	publicationDate	journal	title	reportedTrait	efoTraits	bgTraits	discoverySampleAncestry	"replicationSampleAncestry"	associationCount	summaryStatistics	ssApiFlag	agreedToCc0	genotypingTechnologies	pubmedId	initialSampleDescription	"replicateSampleDescription"
"Panyard DJ"	GCST90026002	2021-01-12	"Commun Biol"	"Cerebrospinal fluid metabolomics identifies 19 brain-related phenotype associations."	"Bilirubin (z,z) levels"	"bilirubin measurement"	-	"291 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90026001-GCST90027000/GCST90026002"	no	no	"Genome-wide genotyping array"	33437055		NA
"Panyard DJ"	GCST90026003	2021-01-12	"Commun Biol"	"Cerebrospinal fluid metabolomics identifies 19 brain-related phenotype associations."	"Cholesterol levels"	"total cholesterol measurement"	-	"291 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90026001-GCST90027000/GCST90026003"	no	no	"Genome-wide genotyping array"	33437055		NA
"Panyard DJ"	GCST90026004	2021-01-12	"Commun Biol"	"Cerebrospinal fluid metabolomics identifies 19 brain-related phenotype associations."	"Lysine levels"	"lysine measurement"	-	"291 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90026001-GCST90027000/GCST90026004"	no	no	"Genome-wide genotyping array"	33437055		NA
"Panyard DJ"	GCST90026005	2021-01-12	"Commun Biol"	"Cerebrospinal fluid metabolomics identifies 19 brain-related phenotype associations."	"Tyrosine levels"	"tyrosine measurement"	-	"291 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90026001-GCST90027000/GCST90026005"	no	no	"Genome-wide genotyping array"	33437055		NA
"Panyard DJ"	GCST90026006	2021-01-12	"Commun Biol"	"Cerebrospinal fluid metabolomics identifies 19 brain-related phenotype associations."	"Pyroglutamine levels"	"pyroglutamine measurement"	-	"291 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90026001-GCST90027000/GCST90026006"	no	no	"Genome-wide genotyping array"	33437055		NA
"Panyard DJ"	GCST90026007	2021-01-12	"Commun Biol"	"Cerebrospinal fluid metabolomics identifies 19 brain-related phenotype associations."	"Cortisol levels"	"cortisol measurement"	-	"291 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90026001-GCST90027000/GCST90026007"	no	no	"Genome-wide genotyping array"	33437055		NA
"Panyard DJ"	GCST90026008	2021-01-12	"Commun Biol"	"Cerebrospinal fluid metabolomics identifies 19 brain-related phenotype associations."	"Lactate levels"	"lactate measurement"	-	"291 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90026001-GCST90027000/GCST90026008"	no	no	"Genome-wide genotyping array"	33437055		NA
"Panyard DJ"	GCST90026009	2021-01-12	"Commun Biol"	"Cerebrospinal fluid metabolomics identifies 19 brain-related phenotype associations."	"Sulfate levels"	"sulfate measurement"	-	"291 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90026001-GCST90027000/GCST90026009"	no	no	"Genome-wide genotyping array"	33437055		NA
"Panyard DJ"	GCST90026010	2021-01-12	"Commun Biol"	"Cerebrospinal fluid metabolomics identifies 19 brain-related phenotype associations."	"1,5-anhydroglucitol (1,5-ag) levels"	"1,5 anhydroglucitol measurement"	-	"291 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90026001-GCST90027000/GCST90026010"	no	no	"Genome-wide genotyping array"	33437055		NA
"Panyard DJ"	GCST90026011	2021-01-12	"Commun Biol"	"Cerebrospinal fluid metabolomics identifies 19 brain-related phenotype associations."	"Kynurenine levels"	"kynurenine measurement"	-	"291 European"		0	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90026001-GCST90027000/GCST90026011"	no	no	"Genome-wide genotyping array"	33437055		NA
